case_id,mta,version,policy,smtp_final_code,reject_node,raw_bytes,raw_sha256,header_section_bytes,header_end_offset,logical_header_count,received_exact,received_ci,from_in_header,to_in_header,subject_in_header,message_id_in_header,x_case_id_in_header,mime_error_in_header,malformed_in_header,received_in_body,normalized,notes
V011,postfix,3.7.11,default,250,-,93792,1fd9d6bf088725cea28da80b28f7ff14a5b9aa18c4d2f7c1b44f10957af222f1,93763,93763,11,5,5,1,1,1,1,1,0,0,0,-,"250 2.0.0 Ok: queued as 497EEADE5;bounce=no"
V012,postfix,3.7.11,default,250,-,102748,2297f339681e019ac9da902948e3b5044902ef092803969582c01b80f38a5fe3,102719,102719,11,5,5,1,1,1,1,1,0,0,0,-,"250 2.0.0 Ok: queued as 9666EADE5;bounce=no"
V001,postfix,3.11.6,default,250,-,1062,190339318735ea9ebc9642125f1ee1e8685e88fc18c8d6afe6a71326735fade2,1033,1033,10,4,4,1,1,1,1,1,0,0,0,-,"250 2.0.0 Ok: queued as 4CD891F7080;bounce=no"
V002,postfix,3.11.6,default,250,-,6076,7b2bee228b9cda0fa5149c7242df1307f157c140a484a896cefb56daa58f785d,6047,6047,56,50,50,1,1,1,1,1,0,0,0,-,"250 2.0.0 Ok: queued as 996FB2CC135;bounce=no"
V003,postfix,3.11.6,default,250,postfix3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"250 2.0.0 Ok: queued as D377C2CC135;bounce=yes"
V004,postfix,3.11.6,default,250,-,6076,f9011366fa9808be6485fec5b95bfe7f247e3a80ccc43c8bfff8de0c659ab99a,6047,6047,56,4,50,1,1,1,1,1,0,0,0,-,"250 2.0.0 Ok: queued as 586052CC136;bounce=no"
V005,postfix,3.11.6,default,250,-,1492,99b593df130ed836bf25de339e55a51fa6bb8d60d1a566a12a6acdad34b5b575,1463,1463,15,9,9,1,1,1,1,1,0,0,0,yes,"250 2.0.0 Ok: queued as A33E32CC136;bounce=no"
V006,postfix,3.11.6,default,250,-,1492,3244d056f79057078b9fa851a29b8bd055a4e2498cab4309ca873b8276a64150,1463,1463,15,9,9,1,1,1,1,1,0,0,0,yes,"250 2.0.0 Ok: queued as EF3F62CC136;bounce=no"
V007,postfix,3.11.6,default,250,-,1225,8995afcb070043f147a4bfcebe4fbde0c4287d839c43e0825b0883f20b888940,964,964,8,4,4,0,0,0,1,1,0,0,1,-,"250 2.0.0 Ok: queued as 3BBFD2CC136;bounce=no"
V008,postfix,3.11.6,default,250,-,5488,1cf01d9dc1f1dd12831859eaec31993796cffc7215ad386898695f7616ae81f3,964,964,8,4,4,0,0,0,1,1,0,0,50,-,"250 2.0.0 Ok: queued as 996442CC136;bounce=no"
V009,postfix,3.11.6,default,250,-,1176,d68100c9c4d88bb0030e52027386d35c6af1cef3b5dc885209088b7ec3811aef,964,964,8,4,4,0,0,0,1,1,0,0,0,-,"250 2.0.0 Ok: queued as DB8BA2CC136;bounce=no"
V010,postfix,3.11.6,default,250,-,3612,272b194805705357b78bf3b6a81c299b985e100d7da5260e8eae2632ec25dabe,3583,3583,60,4,4,1,1,51,1,1,0,0,0,-,"250 2.0.0 Ok: queued as 2B37F2CC136;bounce=no"
V011,postfix,3.11.6,default,250,-,93808,9a480ae21d08f0d6ee921e44ee55c254a2c025fe6799dbac84985388d87b87f3,93779,93779,11,5,5,1,1,1,1,1,0,0,0,-,"250 2.0.0 Ok: queued as 885412CC136;bounce=no"
V012,postfix,3.11.6,default,250,-,102764,523f9530367989de9b048502168c9113b9eaa52b78edbb93aa4046a258c927fa,102735,102735,11,5,5,1,1,1,1,1,0,0,0,-,"250 2.0.0 Ok: queued as D9DF02CC136;bounce=no"
V001,postfix,3.11.6,fix_quietly,250,-,1062,8fdb1374fc9a1b235eb406aca495088ac1e1f7104c9cf8b7a5cdd29e330d9500,1033,1033,10,4,4,1,1,1,1,1,0,0,0,-,"250 2.0.0 Ok: queued as 3B4DC1F6325;bounce=no"
V002,postfix,3.11.6,fix_quietly,250,-,6076,f36755fc1d38844ada87916674b64d4ec84317923923144c66a226ee91d5a6b9,6047,6047,56,50,50,1,1,1,1,1,0,0,0,-,"250 2.0.0 Ok: queued as AF2101F6325;bounce=no"
V003,postfix,3.11.6,fix_quietly,250,postfix3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"250 2.0.0 Ok: queued as A9D391F6325;bounce=yes"
V004,postfix,3.11.6,fix_quietly,250,-,6076,ba1691ea37f3941de03993b6ea275af25e478e78257e2a67ebde1d222dbb8a1b,6047,6047,56,4,50,1,1,1,1,1,0,0,0,-,"250 2.0.0 Ok: queued as 4162D1F6325;bounce=no"
V005,postfix,3.11.6,fix_quietly,250,-,1492,e19cabe5b56c729caac837e6e3c4777782a62b43d22178a9e20534ccc1f1fde1,1463,1463,15,9,9,1,1,1,1,1,0,0,0,yes,"250 2.0.0 Ok: queued as 85CF51F6325;bounce=no"
V006,postfix,3.11.6,fix_quietly,250,-,1492,8f107b1526774186fd95e10b81d3bc88245b30e1387d4ad46f14f0e459203a74,1463,1463,15,9,9,1,1,1,1,1,0,0,0,yes,"250 2.0.0 Ok: queued as CC42E1F6325;bounce=no"
V007,postfix,3.11.6,fix_quietly,250,-,1225,a97f92f2b85690ed465bb753e7ca5e0535f6b8d9c070bb54eb5b5b3076d825f9,964,964,8,4,4,0,0,0,1,1,0,0,1,-,"250 2.0.0 Ok: queued as 237DC1F6325;bounce=no"
V008,postfix,3.11.6,fix_quietly,250,-,5488,014c16042dbfc4574537b09e136329598ce1b365dd2b59e0f1630e30a42c4dcf,964,964,8,4,4,0,0,0,1,1,0,0,50,-,"250 2.0.0 Ok: queued as 5B11D1F6325;bounce=no"
V009,postfix,3.11.6,fix_quietly,250,-,1176,095a74f6bdfc07eac33ff8576428ae33bb2a3cab8a45edeec3792cd476b5b8b3,964,964,8,4,4,0,0,0,1,1,0,0,0,-,"250 2.0.0 Ok: queued as 9D59D1F6325;bounce=no"
V010,postfix,3.11.6,fix_quietly,250,-,3612,b07891daf6e793e979dbbe412db1c43ef9acfa36eebd84da9a8f74109543e04e,3583,3583,60,4,4,1,1,51,1,1,0,0,0,-,"250 2.0.0 Ok: queued as E81EE1F6325;bounce=no"
V011,postfix,3.11.6,fix_quietly,250,-,93808,5604e09346cc3a270847438d0c0f10764f33d0b373b1988bc7646bd1a9adc384,93779,93779,11,5,5,1,1,1,1,1,0,0,0,-,"250 2.0.0 Ok: queued as 34F031F6325;bounce=no"
V012,postfix,3.11.6,fix_quietly,250,-,102764,327494f23312b1d889f42d3f4a12a88cb02b486871d1157f83fa97e2919239cd,102735,102735,11,5,5,1,1,1,1,1,0,0,0,-,"250 2.0.0 Ok: queued as 7F6771F6325;bounce=no"
V001,postfix,3.11.6,add_header,250,-,1062,1f12d54384e367c834d79b88d780d8652ea4d6241273a3c11145fa644c13a1dc,1033,1033,10,4,4,1,1,1,1,1,0,0,0,-,"250 2.0.0 Ok: queued as 001141F544D;bounce=no"
V002,postfix,3.11.6,add_header,250,-,6076,d93b14d699cb5eeda5cec8f025e11562b6810f2c696162136dde64182bb0cb2d,6047,6047,56,50,50,1,1,1,1,1,0,0,0,-,"250 2.0.0 Ok: queued as 542091F544F;bounce=no"
V003,postfix,3.11.6,add_header,250,postfix3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"250 2.0.0 Ok: queued as 716941F544F;bounce=yes"
V004,postfix,3.11.6,add_header,250,-,6076,75be473b78b4747bc968e6990a0cabad43176ba75df69eca70801f92f619b0d5,6047,6047,56,4,50,1,1,1,1,1,0,0,0,-,"250 2.0.0 Ok: queued as C53B61F544D;bounce=no"
V005,postfix,3.11.6,add_header,250,-,1492,17ecd99984b33056b4279d10aaf29407bee897c43a5d598bdefba4255e14d20d,1463,1463,15,9,9,1,1,1,1,1,0,0,0,yes,"250 2.0.0 Ok: queued as E97661F544D;bounce=no"
V006,postfix,3.11.6,add_header,250,-,1492,d331841e809d8ba2eb93233a8e7f4ac8d6c6bb854c3ef7a567f5217f41475559,1463,1463,15,9,9,1,1,1,1,1,0,0,0,yes,"250 2.0.0 Ok: queued as 56D5C1F544D;bounce=no"
V007,postfix,3.11.6,add_header,250,-,1286,2ee7205aee5afe62fc999272cc9c8184d8c9fe662d84bd2000a5237d5289612d,1025,1025,9,4,4,0,0,0,1,1,1,0,1,-,"250 2.0.0 Ok: queued as 7C7261F544D;bounce=no"
V008,postfix,3.11.6,add_header,250,-,5549,dce527f89cc11074ab9fd16d3c8adcc9aef48c51112bc430b175b67b4d2db35b,1025,1025,9,4,4,0,0,0,1,1,1,0,50,-,"250 2.0.0 Ok: queued as 99C3B1F544D;bounce=no"
V009,postfix,3.11.6,add_header,250,-,1237,f4d23ea298ceb9aeb651ac3502d7a95d269f9ecad566a7b19da52d870a0704d9,1025,1025,9,4,4,0,0,0,1,1,1,0,0,-,"250 2.0.0 Ok: queued as A40EE1F544D;bounce=no"
V010,postfix,3.11.6,add_header,250,-,3612,73f90cb6328a27c20dc23a6cbe43f095ed0896e3e021c3664b631f182bc90363,3583,3583,60,4,4,1,1,51,1,1,0,0,0,-,"250 2.0.0 Ok: queued as C0A8F1F544D;bounce=no"
V011,postfix,3.11.6,add_header,250,-,93808,e9b2b25c3f1a17facbc1e20db35aa1f16fb3b8e3e6ddcc7b93c596d53e801d8e,93779,93779,11,5,5,1,1,1,1,1,0,0,0,-,"250 2.0.0 Ok: queued as 64E7A1F544D;bounce=no"
V012,postfix,3.11.6,add_header,250,-,102764,25c1fd86c39634eafcd7be01804563b2c27b66cb025aa10b240584d18f2fbe11,102735,102735,11,5,5,1,1,1,1,1,0,0,0,-,"250 2.0.0 Ok: queued as DD10F1F544D;bounce=no"
V001,postfix,3.11.6,reject,250,-,1062,38a200a49d075706505fd3115a75fff579914befd6fa22eb88a21c8ad6338a1e,1033,1033,10,4,4,1,1,1,1,1,0,0,0,-,"250 2.0.0 Ok: queued as 3F5F71F6360;bounce=no"
V002,postfix,3.11.6,reject,250,-,6076,df68793ba06e69acbb4c913a3dd67b589a1684afd3057ee6a9100d19bb2ba79c,6047,6047,56,50,50,1,1,1,1,1,0,0,0,-,"250 2.0.0 Ok: queued as 99B151F6360;bounce=no"
V003,postfix,3.11.6,reject,250,postfix3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"250 2.0.0 Ok: queued as 8ECA81F6360;bounce=yes"
V004,postfix,3.11.6,reject,250,-,6076,180542fe80c58cb1d552ab46c17f4f02581ccdb974b915750931176fd4accee4,6047,6047,56,4,50,1,1,1,1,1,0,0,0,-,"250 2.0.0 Ok: queued as 2082C1F6360;bounce=no"
